          master-2300  [000] d.h.  1400.515315: __calc_delta: Trace Old Total Tick: 51, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2306  [000] d.h.  1403.239301: __calc_delta: Trace Old Total Tick: 32, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2306  [000] d.h.  1403.239301: __calc_delta: Trace Old Total Tick: 30, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2306  [000] d.h.  1403.243300: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2306  [000] d.h.  1403.243300: __calc_delta: Trace Old Total Tick: 20, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2306  [000] dNh.  1403.243301: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2301  [000] d.h.  1403.247300: __calc_delta: Trace Old Total Tick: 21, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
             phd-2301  [000] d.h.  1403.247301: __calc_delta: Trace Old Total Tick: 82, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2301  [000] d.h.  1403.247301: __calc_delta: Trace Old Total Tick: 31, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
             phd-2301  [000] dNh.  1403.247302: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2301  [000] dNh.  1403.247302: __calc_delta: Trace Old Total Tick: 20, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2301  [000] dNh.  1403.247303: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2299  [000] d.h.  1403.251300: __calc_delta: Trace Old Total Tick: 20, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
          master-2299  [000] d.h.  1403.251300: __calc_delta: Trace Old Total Tick: 57, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2299  [000] d.h.  1403.251301: __calc_delta: Trace Old Total Tick: 18, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
          master-2299  [000] dNh.  1403.251301: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2299  [000] dNh.  1403.251302: __calc_delta: Trace Old Total Tick: 20, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2299  [000] dNh.  1403.251302: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.255300: __calc_delta: Trace Old Total Tick: 22, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.255300: __calc_delta: Trace Old Total Tick: 30, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2305  [000] d.h.  1403.255301: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.259300: __calc_delta: Trace Old Total Tick: 20, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.259300: __calc_delta: Trace Old Total Tick: 20, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2305  [000] dNh.  1403.259301: __calc_delta: Trace Old Total Tick: 34, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2302  [000] d.h.  1403.263300: __calc_delta: Trace Old Total Tick: 20, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
             phd-2302  [000] d.h.  1403.263300: __calc_delta: Trace Old Total Tick: 72, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2302  [000] d.h.  1403.263301: __calc_delta: Trace Old Total Tick: 26, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
             phd-2302  [000] dNh.  1403.263301: __calc_delta: Trace Old Total Tick: 34, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2302  [000] dNh.  1403.263302: __calc_delta: Trace Old Total Tick: 20, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2302  [000] dNh.  1403.263302: __calc_delta: Trace Old Total Tick: 30, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2300  [000] d.h.  1403.267300: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
          master-2300  [000] d.h.  1403.267300: __calc_delta: Trace Old Total Tick: 34, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2300  [000] d.h.  1403.267301: __calc_delta: Trace Old Total Tick: 18, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
          master-2300  [000] dNh.  1403.267301: __calc_delta: Trace Old Total Tick: 30, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2300  [000] dNh.  1403.267302: __calc_delta: Trace Old Total Tick: 20, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2300  [000] dNh.  1403.267302: __calc_delta: Trace Old Total Tick: 35, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2306  [000] d.h.  1403.271300: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2306  [000] d.h.  1403.271300: __calc_delta: Trace Old Total Tick: 34, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2306  [000] d.h.  1403.271301: __calc_delta: Trace Old Total Tick: 31, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2306  [000] d.h.  1403.275300: __calc_delta: Trace Old Total Tick: 19, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2306  [000] d.h.  1403.275300: __calc_delta: Trace Old Total Tick: 19, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2306  [000] dNh.  1403.275301: __calc_delta: Trace Old Total Tick: 34, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2301  [000] d.h.  1403.279300: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
             phd-2301  [000] d.h.  1403.279300: __calc_delta: Trace Old Total Tick: 57, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2301  [000] d.h.  1403.279301: __calc_delta: Trace Old Total Tick: 36, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
             phd-2301  [000] dNh.  1403.279301: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2301  [000] dNh.  1403.279302: __calc_delta: Trace Old Total Tick: 20, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2301  [000] dNh.  1403.279302: __calc_delta: Trace Old Total Tick: 33, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2299  [000] d.h.  1403.283300: __calc_delta: Trace Old Total Tick: 20, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
          master-2299  [000] d.h.  1403.283300: __calc_delta: Trace Old Total Tick: 34, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2299  [000] d.h.  1403.283301: __calc_delta: Trace Old Total Tick: 31, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
          master-2299  [000] dNh.  1403.283301: __calc_delta: Trace Old Total Tick: 36, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2299  [000] dNh.  1403.283302: __calc_delta: Trace Old Total Tick: 18, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2299  [000] dNh.  1403.283302: __calc_delta: Trace Old Total Tick: 33, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.287300: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.287300: __calc_delta: Trace Old Total Tick: 27, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2305  [000] d.h.  1403.287301: __calc_delta: Trace Old Total Tick: 33, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.291301: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.291301: __calc_delta: Trace Old Total Tick: 177, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2305  [000] dNh.  1403.291302: __calc_delta: Trace Old Total Tick: 33, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2302  [000] d.h.  1403.295300: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
             phd-2302  [000] d.h.  1403.295300: __calc_delta: Trace Old Total Tick: 54, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2302  [000] d.h.  1403.295301: __calc_delta: Trace Old Total Tick: 30, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
             phd-2302  [000] dNh.  1403.295302: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2302  [000] dNh.  1403.295302: __calc_delta: Trace Old Total Tick: 20, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2302  [000] dNh.  1403.295303: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2300  [000] d.h.  1403.299300: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
          master-2300  [000] d.h.  1403.299300: __calc_delta: Trace Old Total Tick: 30, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2300  [000] d.h.  1403.299301: __calc_delta: Trace Old Total Tick: 18, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
          master-2300  [000] dNh.  1403.299301: __calc_delta: Trace Old Total Tick: 34, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2300  [000] dNh.  1403.299302: __calc_delta: Trace Old Total Tick: 20, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2300  [000] dNh.  1403.299302: __calc_delta: Trace Old Total Tick: 31, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2306  [000] d.h.  1403.303300: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2306  [000] d.h.  1403.303300: __calc_delta: Trace Old Total Tick: 34, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2306  [000] d.h.  1403.303301: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2306  [000] d.h.  1403.307300: __calc_delta: Trace Old Total Tick: 20, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2306  [000] d.h.  1403.307300: __calc_delta: Trace Old Total Tick: 18, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2306  [000] dNh.  1403.307301: __calc_delta: Trace Old Total Tick: 33, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2301  [000] d.h.  1403.311300: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
             phd-2301  [000] d.h.  1403.311300: __calc_delta: Trace Old Total Tick: 53, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2301  [000] d.h.  1403.311301: __calc_delta: Trace Old Total Tick: 48, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
             phd-2301  [000] dNh.  1403.311301: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2301  [000] dNh.  1403.311302: __calc_delta: Trace Old Total Tick: 18, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2301  [000] dNh.  1403.311302: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2299  [000] d.h.  1403.315300: __calc_delta: Trace Old Total Tick: 19, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
          master-2299  [000] d.h.  1403.315300: __calc_delta: Trace Old Total Tick: 34, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2299  [000] d.h.  1403.315301: __calc_delta: Trace Old Total Tick: 18, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
          master-2299  [000] dNh.  1403.315301: __calc_delta: Trace Old Total Tick: 33, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2299  [000] dNh.  1403.315302: __calc_delta: Trace Old Total Tick: 20, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2299  [000] dNh.  1403.315302: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.319300: __calc_delta: Trace Old Total Tick: 21, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.319300: __calc_delta: Trace Old Total Tick: 28, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2305  [000] d.h.  1403.319301: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.323300: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.323300: __calc_delta: Trace Old Total Tick: 19, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2305  [000] dNh.  1403.323301: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2302  [000] d.h.  1403.327300: __calc_delta: Trace Old Total Tick: 20, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
             phd-2302  [000] d.h.  1403.327300: __calc_delta: Trace Old Total Tick: 77, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2302  [000] d.h.  1403.327301: __calc_delta: Trace Old Total Tick: 26, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
             phd-2302  [000] dNh.  1403.327301: __calc_delta: Trace Old Total Tick: 33, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2302  [000] dNh.  1403.327302: __calc_delta: Trace Old Total Tick: 20, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2302  [000] dNh.  1403.327302: __calc_delta: Trace Old Total Tick: 30, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2300  [000] d.h.  1403.331300: __calc_delta: Trace Old Total Tick: 20, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
          master-2300  [000] d.h.  1403.331300: __calc_delta: Trace Old Total Tick: 58, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2300  [000] d.h.  1403.331301: __calc_delta: Trace Old Total Tick: 34, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
          master-2300  [000] dNh.  1403.331301: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2300  [000] dNh.  1403.331302: __calc_delta: Trace Old Total Tick: 20, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2300  [000] dNh.  1403.331302: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2306  [000] d.h.  1403.335300: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2306  [000] d.h.  1403.335300: __calc_delta: Trace Old Total Tick: 34, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2306  [000] d.h.  1403.335301: __calc_delta: Trace Old Total Tick: 31, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2306  [000] d.h.  1403.339299: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2306  [000] d.h.  1403.339300: __calc_delta: Trace Old Total Tick: 18, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2306  [000] dNh.  1403.339300: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2301  [000] d.h.  1403.343300: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
             phd-2301  [000] d.h.  1403.343300: __calc_delta: Trace Old Total Tick: 75, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2301  [000] d.h.  1403.343301: __calc_delta: Trace Old Total Tick: 32, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
             phd-2301  [000] dNh.  1403.343301: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2301  [000] dNh.  1403.343302: __calc_delta: Trace Old Total Tick: 20, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2301  [000] dNh.  1403.343302: __calc_delta: Trace Old Total Tick: 34, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2299  [000] d.h.  1403.347300: __calc_delta: Trace Old Total Tick: 17, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
          master-2299  [000] d.h.  1403.347300: __calc_delta: Trace Old Total Tick: 60, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2299  [000] d.h.  1403.347300: __calc_delta: Trace Old Total Tick: 20, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
          master-2299  [000] dNh.  1403.347301: __calc_delta: Trace Old Total Tick: 36, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2299  [000] dNh.  1403.347301: __calc_delta: Trace Old Total Tick: 16, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2299  [000] dNh.  1403.347302: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.351300: __calc_delta: Trace Old Total Tick: 20, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.351300: __calc_delta: Trace Old Total Tick: 30, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2305  [000] d.h.  1403.351301: __calc_delta: Trace Old Total Tick: 34, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.355299: __calc_delta: Trace Old Total Tick: 20, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2305  [000] d.h.  1403.355300: __calc_delta: Trace Old Total Tick: 18, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2305  [000] dNh.  1403.355300: __calc_delta: Trace Old Total Tick: 34, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2302  [000] d.h.  1403.359299: __calc_delta: Trace Old Total Tick: 19, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
             phd-2302  [000] d.h.  1403.359300: __calc_delta: Trace Old Total Tick: 78, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2302  [000] d.h.  1403.359300: __calc_delta: Trace Old Total Tick: 28, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
             phd-2302  [000] dNh.  1403.359301: __calc_delta: Trace Old Total Tick: 34, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2302  [000] dNh.  1403.359301: __calc_delta: Trace Old Total Tick: 21, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2302  [000] dNh.  1403.359302: __calc_delta: Trace Old Total Tick: 34, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2300  [000] d.h.  1403.363299: __calc_delta: Trace Old Total Tick: 20, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
          master-2300  [000] d.h.  1403.363300: __calc_delta: Trace Old Total Tick: 34, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2300  [000] d.h.  1403.363300: __calc_delta: Trace Old Total Tick: 17, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
          master-2300  [000] dNh.  1403.363301: __calc_delta: Trace Old Total Tick: 34, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2300  [000] dNh.  1403.363301: __calc_delta: Trace Old Total Tick: 17, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2300  [000] dNh.  1403.363302: __calc_delta: Trace Old Total Tick: 33, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
